ENSG_ID	logFC	Fold Change	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000118702	0.160625060329713	1.11777131744266	4.55303542243946	2.19482756059394	0.0400049425070686	0.113683679349959	-4.33165921065841
ENSG00000105792	-0.361363573278517	-1.2846395099367	6.40993017943969	-2.19443787321512	0.0400367655710356	0.113758037920189	-4.33236618074138
ENSG00000162572	0.233781991906495	1.17591354257544	4.34351766062321	2.1942579693196	0.0400514648588959	0.113783727896208	-4.3326925363711
ENSG00000168566	0.343649238625717	1.26896232664298	6.51376441684305	2.19392851393342	0.040078396206171	0.113844156229139	-4.33329014464606
ENSG00000172671	-0.226935206858502	-1.17034607866695	4.41139072200327	-2.19287300043136	0.0401647904178021	0.114054691123571	-4.33520440354284
ENSG00000122133	0.65616527586714	1.57588829631128	4.48190014647827	2.19280622160882	0.0401702619973626	0.114054691123571	-4.33532549353708
ENSG00000233354	0.232742142515999	1.17506628630609	6.1282166422753	2.19276997722796	0.0401732319959477	0.114054691123571	-4.33539121451232
ENSG00000173421	0.157535685970896	1.11538029283515	4.52659855613611	2.19274517729236	0.0401752643097032	0.114054691123571	-4.33543618319865
ENSG00000268460	0.406466041018599	1.32543510985166	5.0821320348996	2.19267677196228	0.0401808704992543	0.114054691123571	-4.33556021812477
ENSG00000160049	0.257784428085579	1.19564112706629	8.14672986641995	2.1922398515357	0.0402166953349398	0.114128441130783	-4.33635240208067
ENSG00000259417	-0.186646793015538	-1.13811535652511	5.756945800908	-2.19219963501358	0.0402199943095896	0.114128441130783	-4.33642531416877
ENSG00000204463	0.283023059701748	1.21674180659648	10.5095249847005	2.19215230625504	0.0402238770192924	0.114128441130783	-4.33651111961955
ENSG00000100376	0.43430707519095	1.3512616676814	6.65229144127596	2.19194294900497	0.0402410561598421	0.114161077786794	-4.33689066380571
ENSG00000129194	0.408078622557628	1.32691745165264	6.38358641315575	2.19184209020736	0.0402493346747103	0.114168458341763	-4.33707350307581
ENSG00000114757	0.163510286448083	1.1200089698214	3.41254695713676	2.19149030946912	0.0402782210739949	0.114228406790675	-4.33771117975885
ENSG00000122359	-0.279372248362749	-1.21366667365028	8.30096365128578	-2.19144638927632	0.0402818288975916	0.114228406790675	-4.33779078999763
ENSG00000259820	0.408448079735784	1.32725730307032	5.63739028288416	2.19102952027847	0.0403160872626382	0.114299659781399	-4.33854636324835
